,,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggFinalSupply,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction,AggProduction
Kiribati,KIR,201.63,8.26,150.69,243.13,56.48,283.31,0.00,0.00,2006.94,248.79,33.17,2836.25
Kuwait,KWT,304.50,90.14,25.30,588.40,143.66,51.63,26.30,65.38,2.46,221.21,52.11,0.00
Kyrgyzstan,KGZ,343.96,417.89,6.00,369.50,80.23,23.80,420.80,456.97,0.31,427.32,78.39,63.95
Latvia,LVA,253.12,392.84,48.02,343.42,153.72,25.40,2000.89,928.63,106.37,185.82,105.48,231.60
Lebanon,LBN,277.13,146.39,18.88,454.38,67.45,80.35,51.73,113.02,1.16,539.00,43.18,45.35
Lesotho,LSO,357.84,43.82,5.88,80.91,58.44,30.29,96.78,38.18,0.89,40.84,21.31,3.55
Liberia,LBR,226.16,7.04,14.70,133.81,38.11,43.57,98.64,6.24,6.24,129.43,15.19,103.63
Lithuania,LTU,279.38,735.55,63.40,282.68,173.40,29.73,3146.07,1149.74,57.70,187.15,174.63,466.80
Luxembourg,LUX,209.99,324.29,70.34,372.43,182.48,28.93,552.96,1065.02,0.00,73.62,91.62,57.26
Madagascar,MDG,352.84,45.26,7.30,123.17,30.10,13.89,334.57,43.15,8.58,128.25,28.92,25.19
Malawi,MWI,315.60,9.89,15.56,316.82,33.38,54.97,472.99,21.39,13.48,456.06,34.19,157.94
Malaysia,MYS,335.60,44.06,115.23,220.91,115.23,54.09,117.22,50.27,120.62,148.50,130.00,7294.63
Maldives,MDV,243.98,69.62,293.50,251.13,38.90,29.80,0.00,0.00,533.87,27.11,0.00,8.34
Mali,MLI,470.78,178.60,12.79,198.39,52.40,62.01,747.96,165.86,8.79,191.62,46.66,138.05
Malta,MLT,271.63,230.92,65.01,539.31,191.18,42.12,71.70,210.88,25.31,400.66,61.15,6.33
Mauritania,MRT,389.68,196.67,17.55,87.87,73.68,54.98,172.16,168.24,181.86,14.31,66.23,25.39
Mauritius,MUS,344.26,51.32,46.62,217.84,107.12,68.47,2.89,24.53,12.27,140.69,75.04,2.89
Mexico,MEX,345.33,264.02,29.67,339.20,137.08,49.98,550.64,209.84,26.04,479.33,102.55,89.24
Mongolia,MNG,256.82,322.02,1.55,132.53,191.06,16.84,320.59,352.68,0.00,65.41,191.61,10.49
Montenegro,MNE,190.90,777.48,23.97,394.23,160.08,35.34,21.72,554.47,4.34,249.00,36.19,7.24
Morocco,MAR,530.40,117.10,34.09,437.13,76.39,45.20,368.16,149.85,73.81,521.80,66.49,82.54
Mozambique,MOZ,230.64,36.15,21.80,100.29,21.74,51.43,118.58,41.90,17.53,104.47,19.43,81.21
Namibia,NAM,221.23,127.70,24.56,131.74,68.73,31.72,89.38,91.38,387.87,96.57,71.43,18.36
Nepal,NPL,500.47,102.40,5.51,361.81,30.05,46.70,645.71,126.71,4.38,359.15,28.05,60.05
Netherlands,NLD,173.04,707.32,44.27,350.13,168.06,41.40,189.68,1452.62,41.73,632.95,342.84,207.83
New Caledonia,NCL,197.02,86.86,51.22,229.61,154.53,91.06,33.88,20.33,33.88,111.81,54.21,128.76
New Zealand,NZL,213.84,248.11,49.34,343.40,221.97,32.88,436.56,8613.98,220.07,943.43,785.33,16.88
Nicaragua,NIC,319.07,178.49,12.83,110.21,64.91,53.65,248.70,260.66,24.07,149.75,84.33,144.88
Niger,NER,436.09,99.05,5.27,214.36,32.52,109.17,463.54,101.52,4.43,221.14,29.70,206.57
Nigeria,NGA,293.73,12.43,24.82,281.38,17.15,61.36,252.16,12.87,11.03,277.58,16.17,179.81
Norway,NOR,246.50,563.89,101.69,312.86,146.48,48.13,437.16,590.12,1347.12,78.51,148.72,58.75
Oman,OMN,278.16,240.52,54.62,491.35,106.90,34.97,18.25,104.07,95.29,327.30,44.60,3.15
Pakistan,PAK,281.25,363.55,3.67,92.96,36.20,23.15,389.84,380.72,5.80,110.45,34.37,65.03
Panama,PAN,332.68,160.26,27.70,210.91,144.66,43.35,183.93,117.89,97.90,348.10,146.03,49.30
Paraguay,PRY,204.76,192.26,8.40,242.19,119.74,52.63,1355.93,182.69,6.32,232.45,218.29,3120.94
Peru,PER,317.11,126.01,48.52,394.67,56.97,41.93,302.03,134.16,227.32,547.14,118.06,80.29
Philippines,PHL,438.42,9.37,59.33,324.87,80.39,23.46,482.68,8.61,82.74,410.06,64.48,301.34
Poland,POL,295.02,377.31,21.30,358.59,180.38,17.92,1521.64,662.02,11.86,484.75,246.19,215.58
Portugal,PRT,266.95,446.91,106.40,505.70,204.97,46.66,232.15,383.49,34.13,729.88,159.70,112.85
Romania,ROU,316.16,518.99,11.70,547.18,141.58,38.09,1998.84,468.17,1.36,533.83,117.59,382.73
Rwanda,RWA,109.33,39.63,10.50,589.83,20.05,83.63,132.51,38.39,4.42,625.00,18.91,76.20
Saint Kitts and Nevis,KNA,129.05,38.82,73.91,154.80,178.86,73.15,0.00,0.00,625.40,107.21,0.00,107.21
Saint Lucia,LCA,165.69,67.42,67.56,218.77,203.49,38.30,0.00,20.35,20.35,234.05,45.79,137.38
Saint Vincent and the Grenadines,VCT,236.72,61.64,36.60,360.96,185.11,38.00,16.67,33.33,650.01,1333.36,8.33,58.33
Samoa,WSM,118.35,59.56,97.20,402.02,206.47,355.77,0.00,18.88,70.79,457.79,47.20,1689.59
Sao Tome and Principe,STP,174.83,24.12,59.90,443.83,31.51,285.42,9.27,9.27,55.62,454.22,4.63,621.07
Saudi Arabia,SAU,358.47,134.88,24.75,266.61,122.91,55.14,88.15,145.13,5.46,165.29,58.66,9.33
Senegal,SEN,425.39,24.81,41.87,161.80,32.26,61.24,160.13,22.08,58.88,141.50,30.08,134.98
Serbia,SRB,288.77,349.36,13.30,364.07,125.44,29.94,2218.54,348.16,2.24,465.00,119.79,296.27
Sierra Leone,SLE,418.12,49.62,57.96,160.07,18.93,61.95,338.20,46.28,53.26,154.75,13.57,122.17
Slovakia,SVK,257.97,311.62,16.89,217.05,124.11,28.35,1575.64,351.09,1.00,68.51,60.99,274.89
Slovenia,SVN,293.92,484.91,22.35,398.71,177.08,31.16,573.05,576.13,1.32,268.98,136.02,28.08
Solomon Islands,SLB,244.86,14.48,74.49,123.99,25.98,163.64,9.27,12.36,264.24,111.26,10.82,2144.81
South Africa,ZAF,378.24,113.80,14.39,140.21,132.42,34.84,557.04,126.47,20.61,321.80,116.14,90.45
Spain,ESP,227.92,340.11,88.19,423.95,201.91,84.18,800.21,338.90,52.58,1244.81,249.28,245.39
Sri Lanka,LKA,432.17,25.99,61.31,169.53,16.21,168.76,316.42,33.12,49.05,158.23,16.58,269.51
Sudan,SDN,253.57,225.37,2.02,302.08,54.86,54.56,385.26,212.33,1.70,303.18,51.12,163.84
Suriname,SUR,322.63,35.44,34.43,327.69,101.46,52.27,905.10,26.23,132.81,514.86,42.63,52.47
Sweden,SWE,201.34,716.24,70.10,313.51,178.87,25.32,1081.08,594.45,37.91,77.50,130.57,96.31
Switzerland,CHE,209.10,685.87,33.87,350.06,163.03,52.06,219.78,959.59,0.88,190.81,137.08,41.68
Tajikistan,TJK,297.67,113.16,1.21,433.97,35.69,23.55,276.46,206.22,0.44,599.53,26.38,70.02
Thailand,THA,392.02,54.75,47.49,258.69,61.79,49.42,1012.50,58.23,68.37,369.48,79.57,434.71
Timor-Leste,TLS,413.04,6.30,13.92,80.51,66.96,32.48,295.10,10.82,7.73,73.39,56.39,40.17
Togo,TGO,309.55,17.22,21.11,57.24,27.03,53.09,333.36,23.38,4.96,53.51,19.45,130.27
Trinidad and Tobago,TTO,257.64,69.92,46.74,183.41,151.06,75.23,14.65,9.32,17.31,109.87,94.56,40.62
Tunisia,TUN,420.98,240.81,27.60,738.41,64.32,75.90,385.48,237.96,20.25,795.32,64.21,124.15
Turkey,TUR,386.21,388.44,10.15,712.93,78.11,76.59,769.02,465.19,12.59,1000.76,81.52,194.29
Turkmenistan,TKM,412.59,283.54,7.28,421.34,129.29,20.20,468.00,715.78,4.98,446.10,119.49,159.98
Uganda,UGA,150.38,76.27,28.87,308.41,26.00,82.76,176.02,74.17,28.12,315.47,24.72,100.69
Ukraine,UKR,255.45,324.73,25.32,464.83,109.30,31.72,2551.01,495.79,6.72,515.33,106.24,879.70
United Arab Emirates,ARE,324.32,102.30,50.89,413.74,134.47,98.27,0.59,40.07,14.28,142.07,33.18,43.52
United Kingdom,GBR,236.67,475.06,40.25,343.81,160.56,36.26,679.62,439.61,23.34,95.51,117.45,105.40
Uruguay,URY,308.03,441.35,18.43,271.66,130.91,40.15,2144.15,1225.07,34.68,351.62,389.51,1714.89
Uzbekistan,UZB,381.56,432.62,3.83,777.92,78.25,26.75,470.55,519.99,2.74,889.52,73.85,143.26
Vanuatu,VUT,168.85,40.50,61.47,262.66,83.78,327.17,6.88,27.50,395.34,240.64,61.88,2372.04
Yemen,YEM,338.42,35.28,10.91,136.17,45.87,24.77,49.18,32.25,15.42,121.97,35.31,10.26
Zambia,ZMB,290.95,31.86,21.14,69.49,31.49,38.67,432.04,55.08,11.78,62.68,44.36,63.27
Zimbabwe,ZWE,304.48,65.19,6.79,63.38,39.21,36.22,165.59,60.29,3.34,67.24,35.25,44.07
