"region","FoodGroup","Year","AggProduction","AggFinalSupply","grpRegion"
"Australia","Dairy and Eggs",2014,756.191903898981,472.05,NA
"Australia","Fish and Seafood",2014,18.6078032176067,52.98,NA
"Australia","Fruits and Vegetables",2014,380.075914481943,323.96,NA
"Australia","Meat",2014,440.128370320582,265.56,NA
"Australia","Oilseeds and Pulses",2014,631.089028547551,60.28,NA
"Australia and New Zealand","Cereals",2014,2548.3298361913,196.38,"North America and Oceania"
"Australia and New Zealand","Dairy and Eggs",2014,2030.54029051323,435.75,"North America and Oceania"
"Australia and New Zealand","Fish and Seafood",2014,51.2474754073914,52.38,"North America and Oceania"
"Australia and New Zealand","Fruits and Vegetables",2014,471.470331576359,327.09,"North America and Oceania"
"Australia and New Zealand","Meat",2014,496.047216388326,258.51,"North America and Oceania"
"Australia and New Zealand","Oilseeds and Pulses",2014,531.479160416064,55.85,"North America and Oceania"
"Austria","Cereals",2014,1206.42660422671,239.95,"Europe"
"Austria","Dairy and Eggs",2014,776.801000207772,508.77,"Europe"
"Austria","Fish and Seafood",2014,0.842403145135174,28.05,"Europe"
"Austria","Fruits and Vegetables",2014,290.313183892209,392.99,"Europe"
"Austria","Meat",2014,224.395137785382,201.54,"Europe"
"Austria","Oilseeds and Pulses",2014,123.412060762303,41.78,"Europe"
"Azerbaijan","Cereals",2014,438.627071143176,417.87,"N.Africa, W.Asia/C.Asia"
"Azerbaijan","Dairy and Eggs",2014,374.39817234436,274.31,"N.Africa, W.Asia/C.Asia"
"Azerbaijan","Fish and Seafood",2014,0.190873399104951,3.86,"N.Africa, W.Asia/C.Asia"
"Azerbaijan","Fruits and Vegetables",2014,494.362103681822,449.95,"N.Africa, W.Asia/C.Asia"
"Azerbaijan","Meat",2014,67.664619982705,73.04,"N.Africa, W.Asia/C.Asia"
"Azerbaijan","Oilseeds and Pulses",2014,54.6852288435683,14.28,"N.Africa, W.Asia/C.Asia"
"Bahamas","Cereals",2014,4.89536734748941,87.99,"North America and Oceania"
"Bahamas","Dairy and Eggs",2014,19.5814693899576,60.18,"North America and Oceania"
"Bahamas","Fish and Seafood",2014,63.6397755173623,56.29,"North America and Oceania"
"Bahamas","Fruits and Vegetables",2014,381.838653104174,458.43,"North America and Oceania"
"Bahamas","Meat",2014,31.8198877586812,158.61,"North America and Oceania"
"Bahamas","Oilseeds and Pulses",2014,14.6861020424682,29.78,"North America and Oceania"
"Bangladesh","Cereals",2014,648.649447524932,571.25,"SE Asia"
"Bangladesh","Dairy and Eggs",2014,47.0097945939803,39.85,"SE Asia"
"Bangladesh","Fish and Seafood",2014,41.6671053120367,45.85,"SE Asia"
"Bangladesh","Fruits and Vegetables",2014,100.577593504368,110.3,"SE Asia"
"Bangladesh","Meat",2014,8.63636915795492,9.24,"SE Asia"
"Bangladesh","Oilseeds and Pulses",2014,14.0025427883905,28.54,"SE Asia"
"Barbados","Cereals",2014,0,195.1,"North America and Oceania"
"Barbados","Dairy and Eggs",2014,47.7750763613383,87.76,"North America and Oceania"
"Barbados","Fish and Seafood",2014,19.1100305445353,80.33,"North America and Oceania"
"Barbados","Fruits and Vegetables",2014,95.5501527226767,247.06,"North America and Oceania"
"Barbados","Meat",2014,117.845188357968,148.2,"North America and Oceania"
"Barbados","Oilseeds and Pulses",2014,57.330091633606,60.11,"North America and Oceania"
"Belarus","Cereals",2014,1737.76115488765,245.88,"Europe"
"Belarus","Dairy and Eggs",2014,1342.82855390416,314.95,"Europe"
"Belarus","Fish and Seafood",2014,2.69315948064726,32.61,"Europe"
"Belarus","Fruits and Vegetables",2014,461.395929595175,433.84,"Europe"
"Belarus","Meat",2014,239.979746579104,182.02,"Europe"
"Belarus","Oilseeds and Pulses",2014,282.58937693363,41.96,"Europe"
"Belgium","Cereals",2014,519.431793573432,279.62,"Europe"
"Belgium","Dairy and Eggs",2014,657.839144639224,497.29,"Europe"
"Belgium","Fish and Seafood",2014,4.36565242847709,52.57,"Europe"
"Belgium","Fruits and Vegetables",2014,477.715559256873,356.85,"Europe"
"Belgium","Meat",2014,354.345455444724,170.66,"Europe"
"Belgium","Oilseeds and Pulses",2014,123.531794642833,37.55,"Europe"
"Belize","Cereals",2014,485.208039731726,267.4,"Latin America"
"Belize","Dairy and Eggs",2014,41.0758128873419,83.8,"Latin America"
"Belize","Fish and Seafood",2014,205.379064436709,25.85,"Latin America"
"Belize","Fruits and Vegetables",2014,1781.66338398845,426.12,"Latin America"
"Belize","Meat",2014,107.824008829272,88.94,"Latin America"
"Belize","Oilseeds and Pulses",2014,71.8826725528483,56.25,"Latin America"
"Benin","Cereals",2014,302.311514517578,285.35,"Latin America"
"Benin","Dairy and Eggs",2014,26.4566669647822,30.7,"Latin America"
"Benin","Fish and Seafood",2014,8.64251120849551,40.2,"Latin America"
"Benin","Fruits and Vegetables",2014,195.250202200093,206.62,"Latin America"
"Benin","Meat",2014,15.0803001699258,54.74,"Latin America"
"Benin","Oilseeds and Pulses",2014,283.880036532113,70.94,"Latin America"
"Bermuda","Fish and Seafood",2014,0,0,"North America and Oceania"
"Bermuda","Meat",2014,0,0,"North America and Oceania"
"Bolivia (Plurinational State of)","Cereals",2014,415.017403413994,268.81,"Latin America"
"Bolivia (Plurinational State of)","Dairy and Eggs",2014,115.828662814808,102.79,"Latin America"
"Bolivia (Plurinational State of)","Fish and Seafood",2014,1.35571222021721,4.77,"Latin America"
"Bolivia (Plurinational State of)","Fruits and Vegetables",2014,295.036871924771,238.3,"Latin America"
"Bolivia (Plurinational State of)","Meat",2014,132.94452959505,139.15,"Latin America"
"Bolivia (Plurinational State of)","Oilseeds and Pulses",2014,615.832276033669,32.21,"Latin America"
"Bosnia and Herzegovina","Cereals",2014,564.302308083317,341.78,"Europe"
"Bosnia and Herzegovina","Dairy and Eggs",2014,377.243648247758,389.13,"Europe"
"Bosnia and Herzegovina","Fish and Seafood",2014,1.56316428831944,9.41,"Europe"
"Bosnia and Herzegovina","Fruits and Vegetables",2014,475.462471030496,568.01,"Europe"
"Bosnia and Herzegovina","Meat",2014,37.2554155382799,75.66,"Europe"
"Bosnia and Herzegovina","Oilseeds and Pulses",2014,35.6922512499605,39.01,"Europe"
"Botswana","Cereals",2014,43.4346602062606,227.89,"Sub-Saharan Africa"
"Botswana","Dairy and Eggs",2014,306.214354454137,344.72,"Sub-Saharan Africa"
"Botswana","Fish and Seafood",2014,0.868693204125212,8.93,"Sub-Saharan Africa"
"Botswana","Fruits and Vegetables",2014,43.000313604198,131.4,"Sub-Saharan Africa"
"Botswana","Meat",2014,62.1115640949526,64.88,"Sub-Saharan Africa"
"Botswana","Oilseeds and Pulses",2014,7.81823883712691,32.23,"Sub-Saharan Africa"
"Brazil","Cereals",2014,907.553039364928,263.82,"Latin America"
"Brazil","Dairy and Eggs",2014,340.156781385074,324.67,"Latin America"
"Brazil","Fish and Seafood",2014,11.9279473243096,19.87,"Latin America"
"Brazil","Fruits and Vegetables",2014,442.958148853439,313.06,"Latin America"
"Brazil","Meat",2014,256.276377620575,203.62,"Latin America"
"Brazil","Oilseeds and Pulses",2014,961.166164941523,97.57,"Latin America"
"Brunei Darussalam","Fish and Seafood",2014,0,0,"North America and Oceania"
"Bulgaria","Cereals",2014,2414.31042832596,321.48,"Europe"
"Bulgaria","Dairy and Eggs",2014,327.283485953641,342.66,"Europe"
"Bulgaria","Fish and Seafood",2014,5.00816351880094,12.88,"Europe"
"Bulgaria","Fruits and Vegetables",2014,178.541029445253,216.37,"Europe"
"Bulgaria","Meat",2014,58.3451049940309,125.67,"Europe"
"Bulgaria","Oilseeds and Pulses",2014,738.203302671258,33.59,"Europe"
"Burkina Faso","Cereals",2014,461.174801817124,440.89,"Sub-Saharan Africa"
"Burkina Faso","Dairy and Eggs",2014,43.2286894768177,44.47,"Sub-Saharan Africa"
"Burkina Faso","Fish and Seafood",2014,2.16659302867105,13.06,"Sub-Saharan Africa"
"Burkina Faso","Fruits and Vegetables",2014,39.824043288906,43.63,"Sub-Saharan Africa"
"Burkina Faso","Meat",2014,29.1974203387575,30.94,"Sub-Saharan Africa"
"Burkina Faso","Oilseeds and Pulses",2014,205.51682443394,81.35,"Sub-Saharan Africa"
"Côte d'Ivoire","Cereals",2014,228.802275553169,274.2,"Sub-Saharan Africa"
"Côte d'Ivoire","Dairy and Eggs",2014,6.48914016799955,6.85,"Sub-Saharan Africa"
"Côte d'Ivoire","Fish and Seafood",2014,6.28885806404894,33.03,"Sub-Saharan Africa"
"Côte d'Ivoire","Fruits and Vegetables",2014,242.4615150426,207.79,"Sub-Saharan Africa"
"Côte d'Ivoire","Meat",2014,20.4287746029615,29.84,"Sub-Saharan Africa"
"Côte d'Ivoire","Oilseeds and Pulses",2014,285.281828867239,52.22,"Sub-Saharan Africa"
"Cabo Verde","Cereals",2014,3.50082003588863,313.4,"Sub-Saharan Africa"
"Cabo Verde","Dairy and Eggs",2014,45.5106604665522,120.12,"Sub-Saharan Africa"
"Cabo Verde","Fish and Seafood",2014,124.279111274046,24.96,"Sub-Saharan Africa"
"Cabo Verde","Fruits and Vegetables",2014,210.049202153318,275.18,"Sub-Saharan Africa"
"Cabo Verde","Meat",2014,19.2545101973875,65.22,"Sub-Saharan Africa"
"Cabo Verde","Oilseeds and Pulses",2014,45.5106604665522,52.88,"Sub-Saharan Africa"
"Cambodia","Cereals",2014,1172.87566728862,510.22,"SE Asia"
"Cambodia","Dairy and Eggs",2014,5.82042816458804,7.7,"SE Asia"
"Cambodia","Fish and Seafood",2014,88.4942649513896,84.76,"SE Asia"
"Cambodia","Fruits and Vegetables",2014,107.974881665521,110.26,"SE Asia"
"Cambodia","Meat",2014,27.9142983403712,29.73,"SE Asia"
"Cambodia","Oilseeds and Pulses",2014,70.4984513404694,30.79,"SE Asia"
"Cameroon","Cereals",2014,268.613647475845,278.21,"Sub-Saharan Africa"
"Cameroon","Dairy and Eggs",2014,22.1578261914262,20.85,"Sub-Saharan Africa"
"Cameroon","Fish and Seafood",2014,17.3982931286469,39.62,"Sub-Saharan Africa"
"Cameroon","Fruits and Vegetables",2014,650.896143392184,412.18,"Sub-Saharan Africa"
"Cameroon","Meat",2014,27.1973317873101,28.75,"Sub-Saharan Africa"
"Cameroon","Oilseeds and Pulses",2014,347.485909659045,95.58,"Sub-Saharan Africa"
"Canada","Cereals",2014,2528.0571127911,215.06,"North America and Oceania"
"Canada","Dairy and Eggs",2014,462.5927862397,396.03,"North America and Oceania"
"Canada","Fish and Seafood",2014,51.9672859500554,46.26,"North America and Oceania"
"Canada","Fruits and Vegetables",2014,162.769781103478,405.45,"North America and Oceania"
"Canada","Meat",2014,252.408897935585,194.73,"North America and Oceania"
"Canada","Oilseeds and Pulses",2014,1642.451127653,84.85,"North America and Oceania"
"Caribbean","Cereals",2014,119.766874832776,267.46,NA
"Caribbean","Dairy and Eggs",2014,88.2899933163702,128.58,NA
"Caribbean","Fish and Seafood",2014,9.6703169021216,18.91,NA
"Caribbean","Fruits and Vegetables",2014,552.102567734377,449.55,NA
"Caribbean","Meat",2014,57.7317919056659,91.43,NA
"Caribbean","Oilseeds and Pulses",2014,81.6900020306722,66.97,NA
"Central African Republic","Cereals",2014,54.2582053143018,83.37,"Sub-Saharan Africa"
"Central African Republic","Dairy and Eggs",2014,32.9207088423854,34.32,"Sub-Saharan Africa"
"Central African Republic","Fish and Seafood",2014,11.7864266225824,16.04,"Sub-Saharan Africa"
"Central African Republic","Fruits and Vegetables",2014,125.383193554023,104.4,"Sub-Saharan Africa"
"Central African Republic","Meat",2014,74.3764162735373,80.3,"Sub-Saharan Africa"
"Central African Republic","Oilseeds and Pulses",2014,113.596766931441,44.88,"Sub-Saharan Africa"
"Central America","Cereals",2014,453.435001366647,326.27,NA
"Central America","Dairy and Eggs",2014,200.468635342366,241.49,NA
"Central America","Fish and Seafood",2014,24.8504494220885,24.92,NA
"Central America","Fruits and Vegetables",2014,532.257775688603,302.12,NA
"Central America","Meat",2014,93.6176882651702,120.74,NA
"Central America","Oilseeds and Pulses",2014,141.452218781829,51.47,NA
"Central Asia","Cereals",2014,782.798196684039,327.69,NA
"Central Asia","Dairy and Eggs",2014,501.87736827323,414.12,NA
"Central Asia","Fish and Seafood",2014,2.68275481590128,5.42,NA
"Central Asia","Fruits and Vegetables",2014,703.191828905661,611.06,NA
"Central Asia","Meat",2014,81.3454399957202,94.51,NA
"Central Asia","Oilseeds and Pulses",2014,150.840922789545,30.81,NA
"Chad","Cereals",2014,365.036599512426,337.76,"Sub-Saharan Africa"
"Chad","Dairy and Eggs",2014,44.0859043427157,44.54,"Sub-Saharan Africa"
"Chad","Fish and Seafood",2014,15.9346642202587,17.86,"Sub-Saharan Africa"
"Chad","Fruits and Vegetables",2014,30.4086508869937,30.83,"Sub-Saharan Africa"
"Chad","Meat",2014,27.9520568197038,29.96,"Sub-Saharan Africa"
"Chad","Oilseeds and Pulses",2014,175.148517554343,68.32,"Sub-Saharan Africa"
"Chile","Cereals",2014,355.43709935717,293.52,"Latin America"
"Chile","Dairy and Eggs",2014,243.41158068941,195.64,"Latin America"
"Chile","Fish and Seafood",2014,397.37642941929,26.98,"Latin America"
"Chile","Fruits and Vegetables",2014,871.735283203521,259.9,"Latin America"
"Chile","Meat",2014,166.684572463703,168.95,"Latin America"
"Chile","Oilseeds and Pulses",2014,49.5507310112754,28.77,"Latin America"
"China, Hong Kong SAR","Cereals",2014,0,267,"Industrialized Asia"
"China, Hong Kong SAR","Dairy and Eggs",2014,0,106.56,"Industrialized Asia"
"China, Hong Kong SAR","Fish and Seafood",2014,41.8328899584704,136.7,"Industrialized Asia"
"China, Hong Kong SAR","Fruits and Vegetables",2014,10.553586220526,413.07,"Industrialized Asia"
"China, Hong Kong SAR","Meat",2014,45.9017424772274,327.61,"Industrialized Asia"
"China, Hong Kong SAR","Oilseeds and Pulses",2014,3.68739759512353,46.17,"Industrialized Asia"
"China, Macao SAR","Cereals",2014,0,224.96,"Industrialized Asia"
"China, Macao SAR","Dairy and Eggs",2014,0,90.58,"Industrialized Asia"
"China, Macao SAR","Fish and Seafood",2014,4.61116382304603,126.71,"Industrialized Asia"
"China, Macao SAR","Fruits and Vegetables",2014,0,337.28,"Industrialized Asia"
"China, Macao SAR","Meat",2014,46.1116382304603,218.78,"Industrialized Asia"
"China, Macao SAR","Oilseeds and Pulses",2014,12.2964368614561,46.15,"Industrialized Asia"
"China, mainland","Cereals",2014,722.905992481482,391.7,"Industrialized Asia"
"China, mainland","Dairy and Eggs",2014,92.2215161103155,94.94,"Industrialized Asia"
"China, mainland","Fish and Seafood",2014,95.5567217869981,72.92,"Industrialized Asia"
"China, mainland","Fruits and Vegetables",2014,977.380565007079,901.81,"Industrialized Asia"
"China, mainland","Meat",2014,123.278795793477,130.84,"Industrialized Asia"
"China, mainland","Oilseeds and Pulses",2014,118.577743982533,39.42,"Industrialized Asia"
"China, Taiwan Province of","Cereals",2014,149.292533451842,254.45,"Industrialized Asia"
"China, Taiwan Province of","Dairy and Eggs",2014,57.7707268608265,82.23,"Industrialized Asia"
"China, Taiwan Province of","Fish and Seafood",2014,108.899364804499,66.92,"Industrialized Asia"
"China, Taiwan Province of","Fruits and Vegetables",2014,407.021030155823,445.17,"Industrialized Asia"
"China, Taiwan Province of","Meat",2014,123.342046519706,159.27,"Industrialized Asia"
"China, Taiwan Province of","Oilseeds and Pulses",2014,58.1182780250962,91.04,"Industrialized Asia"
"Colombia","Cereals",2014,156.857784924533,215.4,"Latin America"
"Colombia","Dairy and Eggs",2014,292.604184684368,268.7,"Latin America"
"Colombia","Fish and Seafood",2014,7.10795035737326,14.97,"Latin America"
"Colombia","Fruits and Vegetables",2014,493.65487835257,417.11,"Latin America"
"Colombia","Meat",2014,102.485827707126,113.88,"Latin America"
"Colombia","Oilseeds and Pulses",2014,293.048431581704,50.29,"Latin America"
"Congo","Cereals",2014,12.8312543012637,139.27,"Sub-Saharan Africa"
"Congo","Dairy and Eggs",2014,1.91511258227816,4.4,"Sub-Saharan Africa"
"Congo","Fish and Seafood",2014,28.152154959489,55.87,"Sub-Saharan Africa"
"Congo","Fruits and Vegetables",2014,152.825984065797,169.16,"Sub-Saharan Africa"
"Congo","Meat",2014,22.7898397291101,61.98,"Sub-Saharan Africa"
"Congo","Oilseeds and Pulses",2014,84.0734423620112,32.41,"Sub-Saharan Africa"
"Costa Rica","Cereals",2014,88.724562080327,246.74,"Latin America"
"Costa Rica","Dairy and Eggs",2014,431.704585644576,368.54,"Latin America"
"Costa Rica","Fish and Seafood",2014,15.8909663427451,28.42,"Latin America"
"Costa Rica","Fruits and Vegetables",2014,2500.36788276265,290.92,"Latin America"
"Costa Rica","Meat",2014,108.966626350252,105.87,"Latin America"
"Costa Rica","Oilseeds and Pulses",2014,450.244046377779,62.56,"Latin America"
"Croatia","Cereals",2014,1279.92619920997,239.95,"Europe"
"Croatia","Dairy and Eggs",2014,325.737380478485,458.41,"Europe"
"Croatia","Fish and Seafood",2014,39.8644569041078,36.09,"Europe"
"Croatia","Fruits and Vegetables",2014,638.044489379651,263.29,"Europe"
"Croatia","Meat",2014,93.3723642994612,151.53,"Europe"
"Croatia","Oilseeds and Pulses",2014,157.5392173911,27.34,"Europe"
"Cuba","Cereals",2014,163.354116512926,366.62,"North America and Oceania"
"Cuba","Dairy and Eggs",2014,113.04810911921,205.99,"North America and Oceania"
"Cuba","Fish and Seafood",2014,8.98608106554405,12.57,"North America and Oceania"
"Cuba","Fruits and Vegetables",2014,678.368887581919,509.15,"North America and Oceania"
"Cuba","Meat",2014,57.2862667928433,103.42,"North America and Oceania"
"Cuba","Oilseeds and Pulses",2014,35.7838585288629,64.38,"North America and Oceania"
"Cyprus","Cereals",2014,11.0220430620764,201.61,"Europe"
"Cyprus","Dairy and Eggs",2014,346.407067665258,227.58,"Europe"
"Cyprus","Fish and Seafood",2014,9.44746548177976,47.87,"Europe"
"Cyprus","Fruits and Vegetables",2014,423.561369099793,349.72,"Europe"
"Cyprus","Meat",2014,128.328072794175,147.93,"Europe"
"Cyprus","Oilseeds and Pulses",2014,22.0440861241528,55.15,"Europe"
"Czechia","Cereals",2014,1505.04976673833,236.84,"Europe"
"Czechia","Dairy and Eggs",2014,524.124951492336,404.96,"Europe"
"Czechia","Fish and Seafood",2014,4.11145573976665,17.58,"Europe"
"Czechia","Fruits and Vegetables",2014,81.7151828278622,244.45,"Europe"
"Czechia","Meat",2014,106.640883250198,178.97,"Europe"
"Czechia","Oilseeds and Pulses",2014,336.796749349218,27.39,"Europe"
"Democratic People's Republic of Korea","Cereals",2014,378.183970334176,367.67,"Industrialized Asia"
"Democratic People's Republic of Korea","Dairy and Eggs",2014,15.2779662532091,15.9,"Industrialized Asia"
"Democratic People's Republic of Korea","Fish and Seafood",2014,56.4777899407729,21.29,"Industrialized Asia"
"Democratic People's Republic of Korea","Fruits and Vegetables",2014,374.237765780621,369.72,"Industrialized Asia"
"Democratic People's Republic of Korea","Meat",2014,26.2838945493597,28.86,"Industrialized Asia"
"Democratic People's Republic of Korea","Oilseeds and Pulses",2014,59.410290572313,43.1,"Industrialized Asia"
"Denmark","Cereals",2014,3138.03815278415,262.05,"Europe"
"Denmark","Dairy and Eggs",2014,1706.51745612796,623.81,"Europe"
"Denmark","Fish and Seafood",2014,250.812420112284,49.59,"Europe"
"Denmark","Fruits and Vegetables",2014,116.116861163095,314.78,"Europe"
"Denmark","Meat",2014,742.50726669256,171.77,"Europe"
"Denmark","Oilseeds and Pulses",2014,274.035792344903,13.7,"Europe"
"Djibouti","Cereals",2014,0,335.56,"N.Africa, W.Asia/C.Asia"
"Djibouti","Dairy and Eggs",2014,32.3021252920886,55.64,"N.Africa, W.Asia/C.Asia"
"Djibouti","Fish and Seafood",2014,4.03776566151107,7.62,"N.Africa, W.Asia/C.Asia"
"Djibouti","Fruits and Vegetables",2014,78.7364303994659,257.43,"N.Africa, W.Asia/C.Asia"
"Djibouti","Meat",2014,27.2549182151997,38.03,"N.Africa, W.Asia/C.Asia"
"Djibouti","Oilseeds and Pulses",2014,4.03776566151107,56.29,"N.Africa, W.Asia/C.Asia"
"Dominica","Cereals",2014,0,136.79,"North America and Oceania"
"Dominica","Dairy and Eggs",2014,178.680219471019,158.84,"North America and Oceania"
"Dominica","Fish and Seafood",2014,25.5257456387169,65.35,"North America and Oceania"
"Dominica","Fruits and Vegetables",2014,1595.35910241981,939.97,"North America and Oceania"
"Dominica","Meat",2014,25.5257456387169,119.95,"North America and Oceania"
"Dominica","Oilseeds and Pulses",2014,229.731710748452,71.68,"North America and Oceania"
"Dominican Republic","Cereals",2014,152.875591479934,218.86,"North America and Oceania"
"Dominican Republic","Dairy and Eggs",2014,136.811606385721,167.48,"North America and Oceania"
"Dominican Republic","Fish and Seafood",2014,2.85581957230467,17.99,"North America and Oceania"
"Dominican Republic","Fruits and Vegetables",2014,819.084751081633,656.15,"North America and Oceania"
"Dominican Republic","Meat",2014,86.8347638703889,110.47,"North America and Oceania"
"Dominican Republic","Oilseeds and Pulses",2014,136.99009510899,82.88,"North America and Oceania"
"Eastern Africa","Cereals",2014,310.959130070702,267.78,NA
"Eastern Africa","Dairy and Eggs",2014,78.2633254024363,76.87,NA
"Eastern Africa","Fish and Seafood",2014,10.5668961352234,11.12,NA
"Eastern Africa","Fruits and Vegetables",2014,186.61602760598,173.38,NA
"Eastern Africa","Meat",2014,23.9642585162111,24.71,NA
"Eastern Africa","Oilseeds and Pulses",2014,108.368708610211,59.17,NA
"Eastern Asia","Cereals",2014,645.685231837918,379.94,NA
"Eastern Asia","Dairy and Eggs",2014,94.6772685701872,97.47,NA
"Eastern Asia","Fish and Seafood",2014,93.2523172286077,76.81,NA
"Eastern Asia","Fruits and Vegetables",2014,877.705205531573,821.95,NA
"Eastern Asia","Meat",2014,115.893087650454,128.56,NA
"Eastern Asia","Oilseeds and Pulses",2014,105.962196204959,41.44,NA
"Eastern Europe","Cereals",2014,1677.95862249366,287.77,NA
"Eastern Europe","Dairy and Eggs",2014,491.350281181264,375.2,NA
"Eastern Europe","Fish and Seafood",2014,30.5476588014334,32.58,NA
"Eastern Europe","Fruits and Vegetables",2014,354.927074004714,372.88,NA
"Eastern Europe","Meat",2014,139.066399113988,152.64,NA
"Eastern Europe","Oilseeds and Pulses",2014,383.133443910515,33.59,NA
"Ecuador","Cereals",2014,351.116873664731,301.18,"Latin America"
"Ecuador","Dairy and Eggs",2014,255.404256499564,256.71,"Latin America"
"Ecuador","Fish and Seafood",2014,117.835141275238,16.88,"Latin America"
"Ecuador","Fruits and Vegetables",2014,1036.40328889959,307.11,"Latin America"
"Ecuador","Meat",2014,117.1526983721,125.06,"Latin America"
"Ecuador","Oilseeds and Pulses",2014,470.146290020462,37.96,"Latin America"
"Egypt","Cereals",2014,468.056047874551,534.77,"N.Africa, W.Asia/C.Asia"
"Egypt","Dairy and Eggs",2014,122.667323216919,107.96,"N.Africa, W.Asia/C.Asia"
"Egypt","Fish and Seafood",2014,29.7363168410033,48.35,"N.Africa, W.Asia/C.Asia"
